Id;EntityCreatedAt;EntityModifiedAt;ActionTaskID;Status;Year;Month;Day;DateTime;AreaName;UpdateTime;ActualGenerationOutput;ActualConsuption;AreaTypeCodeId;AreaCodeId;ResolutionCodeId;MapCodeId;ProductionTypeId;RowHash
831861522;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T21:00:00.000Z;Greece;2018-01-08T00:49:00.000Z;2146;0;3;56280;2;23;7;70E8BA18-274B715A-336F1BF5-665C80A5-AFD76050-03F91DF8-C022AF88-B810D067-829C09DB-D9045B85-57548510-8AD88ACE-2A4053A7-68F2253A-30101D56-F68FA967
831861515;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T22:00:00.000Z;Greece;2018-01-08T00:48:59.000Z;206;0;3;56280;2;23;12;D61C47B0-1F0E1B85-F925F4E3-CE3E368A-9DA0A6E6-3C7EF9D3-82D2F7BE-AC9C96B6-1C7FA3FD-1EEF3CDA-F4EA030E-C2A64362-76A40BEF-3A0E7F84-35E20CBE-42226B17
831861524;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T21:00:00.000Z;Greece;2018-01-08T00:49:00.000Z;1936;0;3;56280;2;23;1;98DE6914-682CE0DF-38361609-E5E18C33-020EFDC4-E4B5BB0A-06FF68FE-572C8634-B0143535-34A88343-3C2519F8-6815FEE6-AA728397-3825BCDF-98620822-282486F6
831861513;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T22:00:00.000Z;Greece;2018-01-08T00:48:58.000Z;0;0;3;56280;2;23;17;61F65766-DD67EEF2-E01B3E38-84BB00F2-6CD6EF3C-4182C30B-8C2A51E9-EB225C3C-EA0F53E1-4E8A33F0-5455C121-BC26FD18-2197E7D9-AD89955B-F2306A46-A63FC18F
831861483;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T18:00:00.000Z;Greece;2018-02-01T17:08:16.000Z;742;0;3;56280;2;23;12;561ED55E-DD6D4D66-8B1E1AB5-01216395-95E94B92-88E35BB0-2CA199FB-BA7D8B50-D536AEDB-BA9D1DC4-4D73780E-2F6094EB-D1C02981-DB9B7810-20DB2562-EFE36FAA
831861484;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T17:00:00.000Z;Greece;2018-01-01T20:48:37.000Z;0;0;3;56280;2;23;8;48AECCA6-8DC6FB0C-1B3ECCEF-1D0CFD70-AA4D81FC-76160B4A-7A709616-D4E589FB-C106D9A8-3D9B252F-B8E2776B-943E038D-CC3BE42C-85B7DF02-7507A82C-0E75603B
831861486;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T18:00:00.000Z;Greece;2018-01-01T20:48:37.000Z;0;0;3;56280;2;23;17;630BE299-363547C0-E173102A-C47A091F-408F06FB-71E996EA-76A928FA-8CA88612-27DBA744-0037813A-83D402B1-2DA8CB1E-DD2F46A3-D114EC20-C093D7DA-FFF53A27
831861481;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T17:00:00.000Z;Greece;2018-01-01T20:48:36.000Z;1565;0;3;56280;2;23;1;7019839D-0557F68B-462576AC-5A1FF1F1-EF1C3612-00052701-86C5DA7C-C69A7BB4-3435BE27-0E16ABCB-BD8D409A-80825793-3A9C33FE-7C8B0463-C90EC4F3-F176FF5C
831923642;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;2;2018-01-02T09:00:00.000Z;Greece;2018-01-02T12:48:31.000Z;898;0;3;56280;2;23;1;F362115F-8047ADB4-843EF053-51B630F5-3BB1A1DE-7E2914C1-65CF3705-E9A5F192-2E220C73-D304829F-9D634E0E-F257317E-2D0C121F-DF9A5C9F-4C83385A-C84877F2
831923641;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;2;2018-01-02T09:00:00.000Z;Greece;2018-01-02T12:48:31.000Z;0;0;3;56280;2;23;8;DE9918B5-FAC2E89F-0D445064-0456E31F-28EC5D7C-0D50B858-5E60D666-3C41C295-A3C8B00A-F7EB2A33-564FCE9C-C28349BF-8C3B47FC-795F421F-A7CF340F-0D5282CF
